NombreUnidad,direccion,entidad,municipio,telefono,correoelec,sitioweb,Latitude,Longitude,Sector,Inst,POBUSn,POBUSa,POBUSd,,SumaCluster,NivCuidad,ConDer,comollegar
BRING MIND WORLD,"Calle Centella 1055, Int: NA, Colonia Jardines Del Bosque, C.P. 44520 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,,,20.65937837,-103.3881937,Sociedad civil,Sociedad civil,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.65937837,-103.3881937&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ASOCIACION MIRIAM & ERIC,"Calle Francisco De Ayza 1130, Int: NA, Colonia Progreso, C.P. 44730 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,,,20.67211842,-103.3101389,Sociedad civil,Sociedad civil,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.67211842,-103.3101389&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO DE ATENCION INTEGRAL AL ADULTO MAYOR DE DIF TONALA,"Calle Alvaro Obregon 103, Int: NA, Colonia Tonala Csentro, C.P. 45400 Tonalá, Jalisco",Jalisco,Tonalá,Tel. 3312003958,caiamtonala@hotmail.com,,20.62582904,-103.2407692,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.62582904,-103.2407692&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DE DIA BALCONES DE OBLATOS,"Calle Hacienda De Cedros 1525, Int: NA, Colonia Lomas De San Eugenio, C.P. 44760 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3338488642,daiamdifgdl@hotmail.com,,20.68462987,-103.2897537,Pública,Pública,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.68462987,-103.2897537&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ASILO ONCE PUEBLOS,"Calle Ninguno 7, Int: NA, Fraccionamiento Once Pueblos, C.P. 47140 San Miguel el Alto, Jalisco",Jalisco,San Miguel el Alto,Tel. NA,,,21.01641835,-102.4010254,Privada,Privada,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=21.01641835,-102.4010254&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DIA,"Calle Alfredo Marquez Campos 36, Int: NA, Fraccionamiento Fracc Las Capuchinas, C.P. 47430 Lagos de Moreno, Jalisco",Jalisco,Lagos de Moreno,Tel. 4747411013,,,21.35767578,-101.9199686,Pública,Pública,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=21.35767578,-101.9199686&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DIA,"Calle Steve Mathis 2, Int: NA, Colonia La Alameda, C.P. 47750 Atotonilco el Alto, Jalisco",Jalisco,Atotonilco el Alto,Tel. 3919170072,,,20.54549272,-102.5117049,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.54549272,-102.5117049&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA HOGAR PARA PERSONAS MAYORES LA GUADALUPANA,"Calle Santos Degollado 310, Int: NA, Colonia De Santa Maria, C.P. 45500 San Pedro Tlaquepaque, Jalisco",Jalisco,San Pedro Tlaquepaque,Tel. 3331269754,antonia-rodriguez@live.com.mx,,20.63499555,-103.3166174,Privada,Privada,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.63499555,-103.3166174&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DE DIA 1 DE MAYO,"Calle 12 De Diciembre 750, Int: NA, Colonia 5 De Mayo, C.P. 44970 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,,,20.61901137,-103.3576222,Pública,Pública,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.61901137,-103.3576222&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DIA MI LINDO TIZAPAN,"Calle 28 De Enero 29, Int: NA, Manzana Col. Unidad Deportiva, C.P. 49400 Tizapán el Alto, Jalisco",Jalisco,Tizapán el Alto,Tel. NA,,,20.16398992,-103.0483024,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.16398992,-103.0483024&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
